head,tail,relation,label,,,
关羽,刘备,义弟,younger_sworn_brother,,,
张飞,刘备,义弟,younger_sworn_brother,,,
关羽,张飞,义兄,elder_sworn_brother,,,
张苞,张飞,儿子,son,,,
关兴,关羽,儿子,son,,,
关平,张苞,结拜,sworn,,,
关平,关羽,义子,adopted_son,,,
卢植,刘备,师傅,master,,,
公孙瓒,刘备,朋友,friend,,,
甘氏,刘备,妻,wife,,,
刘禅,甘氏,儿子,son,,,
诸葛瞻,刘禅,女婿,son_in_law,,,
诸葛瞻,诸葛亮,儿子,son,,,
诸葛亮,姜维,师傅,master,,,
刘备,诸葛亮,主公,lord,,,
黄月英,诸葛亮,妻,wife,,,
黄承彦,黄月英,父亲,father,,,
诸葛瑾,诸葛亮,哥哥,elder_brother,,,
公孙越,公孙瓒,弟弟,younger_brother,,,
刘备,马超,主公,lord,,,
马腾,马超,父亲,father,,,
公孙越,公孙瓒,弟弟,younger_brother,,,
韩遂,马腾,结拜,sworn,,,
马腾,马超,父亲,father,,,
刘备,徐庶,主公,lord,,,
曹操,徐庶,主公,lord,,,
刘胜,刘启,儿子,son,,,
刘辩,刘启,同族,same_clan,,,
甘氏,刘备,妻,wife,,,
刘禅,甘氏,儿子,son,,,
诸葛瞻,刘禅,女婿,son_in_law,,,
刘备,姜维,主公,lord,,,
诸葛瞻,诸葛亮,儿子,son,,,
姜维,诸葛亮,徒弟,apprentice,,,
刘备,诸葛亮,主公,lord,,,
孙权,诸葛瑾,主公,lord,,,
孙尚香,刘备,妾,concubine,,,
糜氏,刘备,妾,concubine,,,
糜芳,糜氏,哥哥,elder_brother,,,
糜竺,糜芳,哥哥,elder_brother,,,
刘备,糜芳,主公,lord,,,
刘备,糜竺,主公,lord,,,
刘备,魏延,主公,lord,,,
刘备,赵云,主公,lord,,,
刘备,黄忠,主公,lord,,,
刘备,庞统,主公,lord,,,
刘备,法正,主公,lord,,,
刘备,蒋琬,主公,lord,,,
刘备,马良,主公,lord,,,
刘备,孟获,主公,lord,,,
刘备,沙摩柯,主公,lord,,,
庞德公,庞统,叔叔,uncle,,,
马谡,马良,弟弟,younger_brother,,,
祝融,孟获,妻,wife,,,
孙韶,孙策,儿子,son,,,
孙氏,陆逊,妻,wife,,,
孙氏,孙策,女儿,daughter,,,
刘协,刘辩,让位,demise,,,
董卓,刘协,臣,minister,,,
王允,刘协,臣,minister,,,
貂蝉,王允,义女,adopted_daughter,,,
貂蝉,吕布,妾,concubine,,,
丁原,吕布,义父,adoptive_father,,,
董卓,吕布,义父,adoptive_father,,,
吕布,高顺,主公,lord,,,
吕布,陈宫,主公,lord,,,
吕布,张辽,主公,lord,,,
曹操,张辽,主公,lord,,,
刘表,刘协,同族,same_clan,,,
蔡氏,刘表,妻,wife,,,
蔡瑁,蔡氏,弟弟,younger_brother,,,
蒯越,蔡瑁,朋友,friend,,,
曹操,蒯越,主公,lord,,,
刘表,黄祖,主公,lord,,,
刘表,文聘,主公,lord,,,
曹操,蔡瑁,主公,lord,,,
张宝,张角,弟弟,younger_brother,,,
张梁,张宝,弟弟,younger_brother,,,
袁绍,刘协,诸侯,princess,,,
袁术,袁绍,弟弟,younger_brother,,,
袁谭,袁绍,儿子,son,,,
袁熙,袁谭,弟弟,younger_brother,,,
袁尚,袁熙,弟弟,younger_brother,,,
孙尚香,吴国太,女儿,daughter,,,
吴国太,孙坚,妻,wife,,,
孙策,孙坚,儿子,son,,,
孙权,孙策,弟弟,younger_brother,,,
大乔,孙策,妾,concubine,,,
小乔,大乔,妹妹,younger_sister,,,
周瑜,小乔,夫,husband,,,
孙权,周瑜,主公,lord,,,
孙权,陆逊,主公,lord,,,
大乔,陆逊,岳母,mother_in_law,,,
孙权,丁奉,主公,lord,,,
孙权,徐盛,主公,lord,,,
孙权,鲁肃,主公,lord,,,
孙权,张昭,主公,lord,,,
孙权,蒋钦,主公,lord,,,
孙权,太史慈,主公,lord,,,
孙权,周泰,主公,lord,,,
孙权,凌统,主公,lord,,,
孙权,吕蒙,主公,lord,,,
孙权,甘宁,主公,lord,,,
孙权,黄盖,主公,lord,,,
孙权,韩当,主公,lord,,,
孙权,程普,主公,lord,,,
曹嵩,曹操,父亲,father,,,
吕伯奢,曹嵩,结拜,sworn,,,
邹氏,曹操,妾,concubine,,,
邹氏,张绣,嫂子,sister_in_law,,,
曹操,张绣,主公,lord,,,
清河公主,曹操,女儿,daughter,,,
夏侯楙,清河公主,夫,husband,,,
夏侯渊,夏侯楙,父亲,father,,,
夏侯渊,夏侯淳,堂弟,son_of_uncle,,,
曹操,夏侯淳,同族,same_clan,,,
曹操,夏侯淳,主公,lord,,,
曹操,夏侯渊,同族,same_clan,,,
曹操,夏侯渊,主公,lord,,,
曹操,曹真,义父,adoptive_father,,,
曹爽,曹真,儿子,son,,,
曹操,郭嘉,主公,lord,,,
曹操,徐晃,主公,lord,,,
曹操,乐进,主公,lord,,,
曹操,张郃,主公,lord,,,
曹操,许褚,主公,lord,,,
曹操,典韦,主公,lord,,,
曹操,荀彧,主公,lord,,,
曹操,荀攸,主公,lord,,,
荀彧,荀攸,叔叔,uncle,,,
曹操,贾诩,主公,lord,,,
曹操,司马懿,主公,lord,,,
曹操,程昱,主公,lord,,,
曹操,于禁,主公,lord,,,
曹操,邓艾,主公,lord,,,
曹操,钟会,主公,lord,,,
曹操,庞德,主公,lord,,,
司马师,司马懿,儿子,son,,,
司马昭,司马师,弟弟,younger_brother,,,
司马昭,司马懿,儿子,son,,,
司马炎,司马昭,儿子,son,,,
曹仁,曹操,同族,same_clan,,,
曹纯,曹仁,弟弟,younger_brother,,,
曹昂,曹操,儿子,son,,,
刘氏,曹操,妻子,wife,,,
超昂,刘氏,儿子,son,,,
卞氏,曹操,妻子,wife,,,
曹丕,卞氏,儿子,son,,,
曹植,曹丕,弟弟,younger_brother,,,
马谡,诸葛亮,同事,colleague,,,
马谡,刘备,臣,minister,,,
孙坚,孙权,父亲,father,,,
吴国太,孙权,母亲,mother,,,